Modelo_ID,AB2,Resistividad_Aparente
S1-OA-VER,18.0,5.357334834334215
S1-OA-VER,20.0,7.1439805461773425
S1-OA-VER,22.0,6.379919236657817
S1-OA-VER,25.0,6.513293276113438
S1-OA-VER,28.0,7.941622055959659
S1-OA-VER,30.0,8.520661633990427
S1-OA-VER,32.0,6.4522951891239995
S1-OA-VER,35.0,7.449410719463979
S1-OA-VER,40.0,8.988787319778165
S1-OA-VER,45.0,9.966731528555199
S1-OA-VER,50.0,8.728784930144716
S1-OA-VER,55.0,9.21020446145922
S1-OA-VER,60.0,11.130197995774896
S1-OA-VER,65.0,10.40996028885776
S1-OA-VER,70.0,12.057199432805866
S1-OA-VER,75.0,14.657133758024486
S1-OA-VER,80.0,13.979880119969403
S1-OA-VER,85.0,14.687699401839312
S1-OA-VER,90.0,11.397192772984788
S1-OA-VER,95.0,15.294658963779565
S1-OA-VER,100.0,16.454660898841666
S2-OA-VER,1.0,25.756012792295902
S2-OA-VER,2.0,10.434140142979672
S2-OA-VER,3.0,3.9138214102332265
S2-OA-VER,4.0,1.6360486038390345
S2-OA-VER,5.0,1.4049997519408375
S2-OA-VER,8.0,1.0830129167965525
S2-OA-VER,10.0,1.4111517051438165
S2-OA-VER,12.0,1.7329967177822816
S2-OA-VER,15.0,2.283279037135088
S2-OA-VER,18.0,2.048902038434312
S2-OA-VER,20.0,2.8879986671868356
S2-OA-VER,22.0,2.7103324542426748
S2-OA-VER,25.0,2.949722251811728
S2-OA-VER,28.0,3.791033984487087
S2-OA-VER,30.0,4.189802773130775
S2-OA-VER,32.0,3.255728070198674
S2-OA-VER,35.0,3.8831302162048775
S2-OA-VER,40.0,4.880872441575898
S2-OA-VER,45.0,5.567512626886536
S2-OA-VER,50.0,4.972474842552363
S2-OA-VER,55.0,5.318285655197306
S2-OA-VER,60.0,6.487784965383197
S2-OA-VER,65.0,6.108369593195745
S2-OA-VER,70.0,7.10887809604875
S2-OA-VER,75.0,8.672715527337216
S2-OA-VER,80.0,8.2951212490747
S2-OA-VER,85.0,8.735254795027696
S2-OA-VER,90.0,6.791984999576554
S2-OA-VER,95.0,9.131591479366392
S2-OA-VER,100.0,9.841717232462381
S3-OA-VER,1.0,0.9611694070331532
S3-OA-VER,2.0,1.115479357967559
S3-OA-VER,3.0,1.3817136654485278
S3-OA-VER,4.0,1.4676790169521035
S3-OA-VER,5.0,2.1265206611007543
S3-OA-VER,8.0,2.5560397098235774
S3-OA-VER,10.0,3.5873429902231524
S3-OA-VER,12.0,4.5403144288758215
S3-OA-VER,15.0,6.051887178281577
S3-OA-VER,18.0,5.415264159080955
S3-OA-VER,20.0,7.600088085469477
S3-OA-VER,22.0,7.09815439198029
S3-OA-VER,25.0,7.669192649126962
S3-OA-VER,28.0,9.789018389913508
S3-OA-VER,30.0,10.771839937170038
S3-OA-VER,32.0,8.33553493564387
S3-OA-VER,35.0,9.882393810022396
S3-OA-VER,40.0,12.303769505095937
S3-OA-VER,45.0,13.906100025807575
S3-OA-VER,50.0,12.307987459105378
S3-OA-VER,55.0,13.046232708083231
S3-OA-VER,60.0,15.773256894620532
S3-OA-VER,65.0,14.71872465219401
S3-OA-VER,70.0,16.977625544688944
S3-OA-VER,75.0,20.529525698768822
S3-OA-VER,80.0,19.463395268248526
S3-OA-VER,85.0,20.317722941565307
S3-OA-VER,90.0,15.66167951319549
S3-OA-VER,95.0,20.87733697391674
S3-OA-VER,100.0,22.31191155949507
S1-LP-L-NL,1.0,106.21673548556372
S1-LP-L-NL,2.0,118.23244859745849
S1-LP-L-NL,3.0,139.78572195152103
S1-LP-L-NL,4.0,144.012381734464
S1-LP-L-NL,5.0,205.2120135287432
S1-LP-L-NL,8.0,241.78067719779048
S1-LP-L-NL,10.0,336.13359764656974
S1-LP-L-NL,12.0,420.87520750125583
S1-LP-L-NL,15.0,550.5579163422756
S1-LP-L-NL,18.0,482.34322089642086
S1-LP-L-NL,20.0,666.9075845204139
S1-LP-L-NL,22.0,613.3547331265983
S1-LP-L-NL,25.0,647.2685783741509
S1-LP-L-NL,28.0,806.7492701409986
S1-LP-L-NL,30.0,873.7765991454346
S1-LP-L-NL,32.0,665.5574278492787
S1-LP-L-NL,35.0,770.7658732993795
S1-LP-L-NL,50.0,1015.306604648492
S1-LP-L-NL,55.0,1087.2942595681704
S1-LP-L-NL,60.0,916.4520166872308
S1-LP-L-NL,65.0,928.8921385724078
S1-LP-L-NL,70.0,1077.5351914497087
S1-LP-L-NL,75.0,967.5108499080992
S1-LP-L-NL,80.0,1076.4898876995956
S1-LP-L-NL,85.0,1258.3298615729443
S1-LP-L-NL,90.0,1155.427337158584
S1-LP-L-NL,95.0,1170.157166086446
S1-LP-L-NL,100.0,876.4263829844645
S1-LP-L-NL,110.0,1144.7198768707508
S1-LP-L-NL,120.0,1197.4892865587597
S2-LP-L-NL,1.0,373.8853682446068
S2-LP-L-NL,2.0,383.8510438066867
S2-LP-L-NL,3.0,395.4415724419673
S2-LP-L-NL,4.0,350.4993139856797
S2-LP-L-NL,5.0,435.9221899654079
S2-LP-L-NL,8.0,385.32578927470604
S2-LP-L-NL,10.0,473.71143867701886
S2-LP-L-NL,12.0,540.1488321902401
S2-LP-L-NL,15.0,634.3780393610278
S2-LP-L-NL,18.0,511.4248236218901
S2-LP-L-NL,20.0,675.410530259155
S2-LP-L-NL,22.0,596.889989179274
S2-LP-L-NL,25.0,598.7916962777937
S2-LP-L-NL,28.0,715.8695719998897
S2-LP-L-NL,30.0,757.212711303674
S2-LP-L-NL,32.0,564.8647862437667
S2-LP-L-NL,35.0,636.8827448712226
S2-LP-L-NL,50.0,775.5588921270598
S2-LP-L-NL,55.0,819.6379384118312
S2-LP-L-NL,60.0,684.4179654516016
S2-LP-L-NL,65.0,689.2411824816356
S2-LP-L-NL,70.0,796.1149272499551
S2-LP-L-NL,75.0,712.9327524022912
S2-LP-L-NL,80.0,792.110013332886
S2-LP-L-NL,85.0,925.454044970201
S2-LP-L-NL,90.0,849.9423434809249
